City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Abalak,RU,58.1286,68.5944,25.88,95,12,4.56,few clouds
307,Muscat,OM,23.6139,58.5922,86.5,33,77,7.2,broken clouds
308,Pisco,PE,-13.7,-76.2167,71.02,81,55,9.86,broken clouds
309,Talara,PE,-4.5772,-81.2719,72.55,79,57,10.45,broken clouds
310,Coos Bay,US,43.3665,-124.2179,55.99,80,75,16.11,broken clouds
311,Esik,KZ,43.3552,77.4525,47.62,95,93,6.33,overcast clouds
312,Macae,BR,-22.3708,-41.7869,76.19,91,100,6.06,overcast clouds
313,Kamenka,RU,51.3223,42.7678,46.58,87,93,4.54,overcast clouds
314,Nakhon Phanom,TH,17.3333,104.4167,69.57,58,93,4.61,overcast clouds
315,Aksarka,RU,66.5606,67.7975,8.96,96,100,6.6,overcast clouds
316,Manzhouli,CN,49.6,117.4333,35.53,85,27,11.92,scattered clouds
317,Zyryanka,RU,65.75,150.85,-15.97,97,97,7.83,overcast clouds
318,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,63,0,4.47,clear sky
319,Mount Gambier,AU,-37.8333,140.7667,59.97,67,77,8.32,broken clouds
320,Abapo,BO,-18.8333,-63.4667,84.99,45,71,13.11,broken clouds
321,Humaita,BR,-7.5061,-63.0208,77.04,96,98,2.66,overcast clouds
322,Bandar-E Lengeh,IR,26.5579,54.8807,80.22,53,95,12.28,overcast clouds
323,Mahebourg,MU,-20.4081,57.7,77.29,88,40,8.05,scattered clouds
324,Paamiut,GL,61.994,-49.6678,26.58,75,11,0.74,few clouds
325,Quatre Cocos,MU,-20.2078,57.7625,77.11,79,22,13.62,few clouds
326,Butajira,ET,8.1167,38.3667,64.6,56,79,4.59,broken clouds
327,Viedma,AR,-40.8135,-62.9967,62.42,88,100,14.79,heavy intensity rain
328,Nabire,ID,-3.3667,135.4833,74.68,89,45,3.24,scattered clouds
329,Eyl,SO,7.9803,49.8164,80.38,80,68,8.66,broken clouds
330,Souillac,MU,-20.5167,57.5167,77.38,88,40,8.05,scattered clouds
331,Salvador,SV,13.8333,-88.9167,91.8,37,99,10.25,overcast clouds
332,Anadyr,RU,64.75,177.4833,21.0,85,100,4.0,overcast clouds
333,Dobryanka,RU,58.4619,56.4165,37.81,97,100,9.35,overcast clouds
334,Rio Grande,BR,-32.035,-52.0986,73.51,81,5,11.03,clear sky
335,Tasiilaq,GL,65.6145,-37.6368,24.96,93,85,2.48,overcast clouds
336,Guamal,CO,9.1433,-74.2238,93.29,49,94,3.36,overcast clouds
337,Ravar,IR,31.2656,56.8055,75.15,11,74,13.69,broken clouds
338,Maiduguri,NG,11.8464,13.1603,91.36,7,100,7.67,overcast clouds
339,Hamilton,US,39.1834,-84.5333,42.24,65,100,14.97,overcast clouds
340,Omsukchan,RU,62.5333,155.8,3.61,93,100,4.81,overcast clouds
341,Laredo,US,27.5064,-99.5075,89.89,22,0,17.27,clear sky
342,Morehead,US,37.2711,-87.1764,52.99,41,100,4.61,overcast clouds
343,Urumqi,CN,43.801,87.6005,52.75,44,0,2.24,moderate rain
344,Kenai,US,60.5544,-151.2583,36.03,38,0,6.91,clear sky
345,Mandera,KE,3.9366,41.867,88.59,41,97,18.03,overcast clouds
